host_time,record_type,stm_tick_ms,command_id,command,motor_a_delta,motor_b_delta
1788561454.3842244,ENC,36950,0,,0,0
1788561454.404125,ENC,36970,0,,0,0
1788561454.4239955,ENC,36990,0,,0,0
1788561454.4439907,ENC,37010,0,,0,0
1788561454.4638457,ENC,37030,0,,0,0
1788561454.483726,ENC,37050,0,,0,0
1788561454.503639,ENC,37070,0,,0,0
1788561454.5235589,ENC,37090,0,,0,0
1788561454.5434637,ENC,37110,0,,0,0
1788561454.5633464,ENC,37130,0,,0,0
1788561454.583247,ENC,37150,0,,0,0
1788561454.603187,ENC,37170,0,,0,0
1788561454.6231441,ENC,37190,0,,0,0
1788561454.6430588,ENC,37210,0,,0,0
1788561454.6628978,ENC,37230,0,,0,0
1788561454.682785,ENC,37250,0,,0,0
1788561454.7026744,ENC,37270,0,,0,0
1788561454.7226121,ENC,37290,0,,0,0
1788561454.742509,ENC,37310,0,,0,0
1788561454.7623847,ENC,37330,0,,0,0
1788561454.7823184,ENC,37350,0,,0,0
1788561454.8022223,ENC,37370,0,,0,0
1788561454.822096,ENC,37390,0,,0,0
1788561454.8420143,ENC,37410,0,,0,0
1788561454.861924,ENC,37430,0,,0,0
1788561454.881795,ENC,37450,0,,0,0
1788561454.901778,ENC,37470,0,,0,0
1788561454.9216135,ENC,37490,0,,0,0
1788561454.941507,ENC,37510,0,,0,0
1788561454.96139,ENC,37530,0,,0,0
1788561454.9812956,ENC,37550,0,,0,0
1788561455.00119,ENC,37570,0,,0,0
1788561455.0210657,ENC,37590,0,,0,0
1788561455.0410016,ENC,37610,0,,0,0
1788561455.0609455,ENC,37630,0,,0,0
1788561455.08081,ENC,37650,0,,0,0
1788561455.1007717,ENC,37670,0,,0,0
1788561455.120642,ENC,37690,0,,0,0
1788561455.1405427,ENC,37710,0,,0,0
1788561455.1603982,ENC,37730,0,,0,0
1788561455.1803267,ENC,37750,0,,0,0
1788561455.2002544,ENC,37770,0,,0,0
1788561455.2201135,ENC,37790,0,,0,0
1788561455.2400653,ENC,37810,0,,0,0
1788561455.2600937,ENC,37830,0,,0,0
1788561455.280116,ENC,37850,0,,0,0
1788561455.3001535,ENC,37870,0,,0,0
1788561455.320163,ENC,37890,0,,0,0
1788561455.3401234,ENC,37910,0,,0,0
1788561455.360027,ENC,37930,0,,0,0
1788561455.3799465,ENC,37950,0,,0,0
1788561455.3998406,ENC,37970,0,,0,0
1788561455.4197295,ENC,37990,0,,0,0
1788561455.4396477,ENC,38010,0,,0,0
1788561455.459596,ENC,38030,0,,0,0
1788561455.4794872,ENC,38050,0,,0,0
