host_time,record_type,stm_tick_ms,command_id,command,motor_a_delta,motor_b_delta,yaw_deg,target_deg,yaw_rate_dps,turn_error_deg,turn_effort,left_pwm,right_pwm,turn_phase
1788586947.6700454,ENC,50090,0,,0,0,,,,,,,,
1788586947.6898189,ENC,50110,0,,0,0,,,,,,,,
1788586947.7097316,ENC,50130,0,,0,0,,,,,,,,
1788586947.7294812,ENC,50150,0,,0,0,,,,,,,,
1788586947.7495549,ENC,50170,0,,0,0,,,,,,,,
1788586947.7693908,ENC,50190,0,,0,0,,,,,,,,
1788586947.7892442,ENC,50210,0,,0,0,,,,,,,,
1788586947.8090885,ENC,50230,0,,0,0,,,,,,,,
1788586947.8291383,ENC,50250,0,,0,0,,,,,,,,
1788586947.8489244,ENC,50270,0,,0,0,,,,,,,,
1788586947.8687007,ENC,50290,0,,0,0,,,,,,,,
1788586947.8886082,ENC,50310,0,,0,0,,,,,,,,
1788586947.9087129,ENC,50330,0,,0,0,,,,,,,,
1788586947.9285688,ENC,50350,0,,0,0,,,,,,,,
1788586947.9484355,ENC,50370,0,,0,0,,,,,,,,
1788586947.9683843,ENC,50390,0,,0,0,,,,,,,,
1788586947.9882083,ENC,50410,0,,0,0,,,,,,,,
1788586948.008144,ENC,50430,0,,0,0,,,,,,,,
1788586948.027984,ENC,50450,0,,0,0,,,,,,,,
1788586948.0478415,ENC,50470,0,,0,0,,,,,,,,
1788586948.0677767,ENC,50490,0,,0,0,,,,,,,,
1788586948.0877519,ENC,50510,0,,0,0,,,,,,,,
1788586948.1076458,ENC,50530,0,,0,0,,,,,,,,
1788586948.1274974,ENC,50550,0,,0,0,,,,,,,,
1788586948.1472664,ENC,50570,0,,0,0,,,,,,,,
1788586948.1672645,ENC,50590,0,,0,0,,,,,,,,
1788586948.1871202,ENC,50610,0,,0,0,,,,,,,,
1788586948.2071068,ENC,50630,0,,0,0,,,,,,,,
1788586948.227016,ENC,50650,0,,0,0,,,,,,,,
1788586948.2469091,ENC,50670,0,,0,0,,,,,,,,
1788586948.266679,ENC,50690,0,,0,0,,,,,,,,
1788586948.2865114,ENC,50710,0,,0,0,,,,,,,,
1788586948.3065066,ENC,50730,0,,0,0,,,,,,,,
1788586948.3263624,ENC,50750,0,,0,0,,,,,,,,
1788586948.346264,ENC,50770,0,,0,0,,,,,,,,
1788586948.366324,ENC,50790,0,,0,0,,,,,,,,
1788586948.3862212,ENC,50810,0,,0,0,,,,,,,,
1788586948.4059718,ENC,50830,0,,0,0,,,,,,,,
1788586948.425995,ENC,50850,0,,0,0,,,,,,,,
1788586948.4458587,ENC,50870,0,,0,0,,,,,,,,
1788586948.465802,ENC,50890,0,,0,0,,,,,,,,
1788586948.4856105,ENC,50910,0,,0,0,,,,,,,,
1788586948.5055127,ENC,50930,0,,0,0,,,,,,,,
1788586948.5253475,ENC,50950,0,,0,0,,,,,,,,
1788586948.5454223,ENC,50970,0,,0,0,,,,,,,,
1788586948.5653105,ENC,50990,0,,0,0,,,,,,,,
1788586948.5850644,ENC,51010,0,,0,0,,,,,,,,
