host_time,session_id,record_type,stm_tick_ms,command_id,command,motor_a_delta,motor_b_delta,sample_dt_ms,yaw_deg,target_deg,yaw_rate_dps,turn_error_deg,turn_effort,left_pwm,right_pwm,servo_ccr,turn_phase,fault_code
1790315568.3545077,1,ENC,2172633,4,,0,0,0,,,,,,,,,,
1790315568.3761866,1,ENC,2172653,4,,0,0,0,,,,,,,,,,
1790315568.3964891,1,ENC,2172673,4,,0,0,0,,,,,,,,,,
1790315568.4159648,1,ENC,2172693,4,,0,0,0,,,,,,,,,,
1790315568.4358108,1,ENC,2172713,4,,0,0,0,,,,,,,,,,
1790315568.4556887,1,ENC,2172733,4,,0,0,0,,,,,,,,,,
1790315568.4755695,1,ENC,2172753,4,,0,0,0,,,,,,,,,,
1790315568.495546,1,ENC,2172773,4,,0,0,0,,,,,,,,,,
1790315568.5153146,1,ENC,2172793,4,,0,0,0,,,,,,,,,,
1790315568.535162,1,ENC,2172813,4,,0,0,0,,,,,,,,,,
1790315568.5557423,1,ENC,2172833,4,,0,0,0,,,,,,,,,,
1790315568.5730202,1,ENC,2172853,4,,0,0,0,,,,,,,,,,
1790315568.5949695,1,ENC,2172873,4,,0,0,0,,,,,,,,,,
1790315568.6146908,1,ENC,2172893,4,,0,0,0,,,,,,,,,,
1790315568.6346107,1,ENC,2172913,4,,0,0,0,,,,,,,,,,
1790315568.6546679,1,ENC,2172933,4,,0,0,0,,,,,,,,,,
1790315568.6742852,1,ENC,2172953,4,,0,0,0,,,,,,,,,,
1790315568.6941295,1,ENC,2172973,4,,0,0,0,,,,,,,,,,
1790315568.7140012,1,ENC,2172993,4,,0,0,0,,,,,,,,,,
1790315568.7338915,1,ENC,2173013,4,,0,0,0,,,,,,,,,,
1790315568.7541127,1,ENC,2173033,4,,0,0,0,,,,,,,,,,
1790315568.7716906,1,ENC,2173053,4,,0,0,0,,,,,,,,,,
1790315568.793448,1,ENC,2173073,4,,0,0,0,,,,,,,,,,
1790315568.8139749,1,ENC,2173093,4,,0,0,0,,,,,,,,,,
1790315568.8332925,1,ENC,2173113,4,,0,0,0,,,,,,,,,,
1790315568.8530722,1,ENC,2173133,4,,0,0,0,,,,,,,,,,
1790315568.872976,1,ENC,2173153,4,,0,0,0,,,,,,,,,,
1790315568.8927875,1,ENC,2173173,4,,0,0,0,,,,,,,,,,
1790315568.9129083,1,ENC,2173193,4,,0,0,0,,,,,,,,,,
1790315568.9326682,1,ENC,2173213,4,,0,0,0,,,,,,,,,,
1790315568.9525266,1,ENC,2173233,4,,0,0,0,,,,,,,,,,
1790315568.9726384,1,ENC,2173253,4,,0,0,0,,,,,,,,,,
1790315568.9909382,1,ENC,2173273,4,,0,0,0,,,,,,,,,,
1790315569.0122774,1,ENC,2173293,4,,0,0,0,,,,,,,,,,
1790315569.03215,1,ENC,2173313,4,,0,0,0,,,,,,,,,,
1790315569.0518978,1,ENC,2173333,4,,0,0,0,,,,,,,,,,
1790315569.073099,1,ENC,2173353,4,,0,0,0,,,,,,,,,,
1790315569.091645,1,ENC,2173373,4,,0,0,0,,,,,,,,,,
1790315569.111523,1,ENC,2173393,4,,0,0,0,,,,,,,,,,
1790315569.1314273,1,ENC,2173413,4,,0,0,0,,,,,,,,,,
1790315569.1512873,1,ENC,2173433,4,,0,0,0,,,,,,,,,,
1790315569.1715062,1,ENC,2173453,4,,0,0,0,,,,,,,,,,
1790315569.189552,1,ENC,2173473,4,,0,0,0,,,,,,,,,,
1790315569.2109284,1,ENC,2173493,4,,0,0,0,,,,,,,,,,
1790315569.231579,1,ENC,2173513,4,,0,0,0,,,,,,,,,,
1790315569.2506585,1,ENC,2173533,4,,0,0,0,,,,,,,,,,
1790315569.2705648,1,ENC,2173553,4,,0,0,0,,,,,,,,,,
1790315569.2904158,1,ENC,2173573,4,,0,0,0,,,,,,,,,,
1790315569.3102965,1,ENC,2173593,4,,0,0,0,,,,,,,,,,
1790315569.3302743,1,ENC,2173613,4,,0,0,0,,,,,,,,,,
1790315569.3504105,1,ENC,2173633,4,,0,0,0,,,,,,,,,,
